employee_idx,country_residence,sex,relation_type,residence_idx,foreigner_idx,spouse_idx,channel,deceased_idx,province_name,segmentation,age,gross_income_household,seniority,type,month,partition,customer_id,new_customer,primary,address_type,province_code,activity_idx,prod_list,prev_prod_list,new_product,product
3.0,36.0,0.0,0.0,1.0,0.0,,153.0,0.0,31.0,2.0,35.0,87218.1,6.0,1.0,1,2015-01-28,1375586,0.0,1.0,1.0,29.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,1.0,1.0,1.0,1.0,,150.0,0.0,16.0,3.0,23.0,35548.74,35.0,1.0,1,2015-01-28,1050611,0.0,1.0,1.0,13.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,1.0,1.0,1.0,0.0,,150.0,0.0,16.0,3.0,23.0,122179.11000000002,35.0,1.0,1,2015-01-28,1050612,0.0,1.0,1.0,13.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,1.0,1.0,0.0,,149.0,0.0,51.0,3.0,22.0,119775.54,35.0,1.0,1,2015-01-28,1050613,0.0,1.0,1.0,50.0,0.0,['prod_short_term_deposit'],,['prod_short_term_deposit'],prod_short_term_deposit
3.0,36.0,1.0,0.0,1.0,0.0,,150.0,0.0,51.0,3.0,23.0,,35.0,1.0,1,2015-01-28,1050614,0.0,1.0,1.0,50.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,1.0,1.0,0.0,,150.0,0.0,47.0,3.0,23.0,22220.04,35.0,1.0,1,2015-01-28,1050615,0.0,1.0,1.0,45.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,1.0,1.0,0.0,,150.0,0.0,27.0,3.0,23.0,295590.36,35.0,1.0,1,2015-01-28,1050616,0.0,1.0,1.0,24.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,0.0,1.0,0.0,,150.0,0.0,51.0,3.0,23.0,113316.66,35.0,1.0,1,2015-01-28,1050617,0.0,1.0,1.0,50.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,1.0,1.0,0.0,,150.0,0.0,20.0,3.0,24.0,,35.0,1.0,1,2015-01-28,1050619,0.0,1.0,1.0,20.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,1.0,1.0,0.0,,150.0,0.0,11.0,3.0,23.0,113194.98,35.0,1.0,1,2015-01-28,1050620,0.0,1.0,1.0,10.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,1.0,1.0,1.0,0.0,,150.0,0.0,51.0,3.0,23.0,72575.88,35.0,1.0,1,2015-01-28,1050621,0.0,1.0,1.0,50.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,1.0,1.0,0.0,,150.0,0.0,21.0,3.0,23.0,,35.0,1.0,1,2015-01-28,1050622,0.0,1.0,1.0,17.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,0.0,1.0,0.0,,150.0,0.0,50.0,3.0,23.0,113538.81,35.0,1.0,1,2015-01-28,1050623,0.0,1.0,1.0,49.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,0.0,1.0,0.0,,150.0,0.0,51.0,2.0,65.0,61605.09,35.0,1.0,1,2015-01-28,1050624,0.0,1.0,1.0,50.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,1.0,0.0,1.0,0.0,,150.0,0.0,50.0,3.0,23.0,,35.0,1.0,1,2015-01-28,1050625,0.0,1.0,1.0,49.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,1.0,0.0,1.0,0.0,,150.0,0.0,8.0,3.0,23.0,,35.0,1.0,1,2015-01-28,1050626,0.0,1.0,1.0,8.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,1.0,1.0,1.0,0.0,,150.0,0.0,40.0,3.0,24.0,68318.45999999999,35.0,1.0,1,2015-01-28,1050610,0.0,1.0,1.0,37.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,1.0,1.0,0.0,,150.0,0.0,16.0,3.0,23.0,65608.35,35.0,1.0,1,2015-01-28,1050627,0.0,1.0,1.0,13.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,0.0,1.0,1.0,0.0,,120.0,0.0,16.0,3.0,22.0,73432.47,35.0,1.0,1,2015-01-28,1050609,0.0,1.0,1.0,13.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,1.0,1.0,1.0,0.0,,150.0,0.0,47.0,3.0,23.0,,35.0,1.0,1,2015-01-28,1050605,0.0,1.0,1.0,45.0,0.0,['prod_current_account'],,['prod_current_account'],prod_current_account
3.0,36.0,1.0,1.0,1.0,0.0,,150.0,0.0,16.0,3.0,28.0,64620.56999999999,35.0,1.0,1,2015-01-28,1050582,0.0,1.0,1.0,13.0,1.0,['prod_current_account'],,['prod_current_account'],prod_current_account
